1;15.0000000000
2;14.9951543808
3;14.9922475815
4;14.9902105331
5;14.9875650406
6;14.9826736450
7;14.9736356735
8;14.9604196548
9;14.9382982254
10;14.9072914124
11;14.8522596359
12;14.7372674942
13;14.5238227844
14;14.1721506119
15;13.6649665833
16;13.0401802063
17;12.3377628326
18;11.5900764465
19;10.6565809250
20;9.7484378815
21;8.6882324219
22;7.7971920967
23;6.9087133408
24;6.0185699463
25;5.3186421394
26;4.8868269920
27;4.6622390747
28;4.5115919113
29;4.4951930046
30;4.3939332962
31;4.5576014519
32;4.5293774605
33;4.5508108139
34;4.6205425262
35;4.6481003761
36;4.7049331665
37;4.7082810402
38;4.7586617470
39;4.8271961212
40;4.8680615425
41;4.8791131973
42;4.9066257477
43;4.9435181618
44;4.9443416595
45;4.9706897736
46;4.9798383713
47;4.9871282578
48;4.9900860786
49;4.9950528145
50;4.9935741425
51;4.9961915016
52;4.9985213280
53;4.9991865158
54;4.9993896484
55;4.9995479584
56;4.9996809959
57;4.9998216629
58;4.9998946190
59;4.9999475479
60;4.9999566078
61;4.9999704361
62;4.9999775887
63;4.9999833107
64;4.9999885559
65;4.9999923706
66;4.9999947548
67;4.9999957085
68;4.9999966621
69;4.9999971390
70;4.9999985695
71;4.9999985695
72;4.9999985695
73;4.9999990463
74;4.9999995232
75;4.9999995232
76;4.9999995232
77;4.9999995232
78;4.9999995232
79;4.9999995232
80;5.0000000000
81;5.0000000000
82;5.0000000000
83;5.0000000000
84;5.0000000000
85;5.0000000000
86;5.0000000000
87;5.0000000000
88;5.0000000000
89;5.0000000000
90;5.0000000000
91;5.0000000000
92;5.0000000000
